date,time,temperature,humidity,wind_speed,precipitation
1/20/2022,4:00:00,17.4035,43.5,6.478165,0
1/20/2022,6:00:00,20.0285,35.5,4.6227875,0
1/20/2022,8:00:00,20.878498,32.5,3.648322,0
1/20/2022,10:00:00,19.7785,35.5,4.63854,0
1/20/2022,12:00:00,17.4035,47.5,8.97114,0
1/20/2022,14:00:00,16.1785,55.5,8.321573,0
1/20/2022,16:00:00,15.4035,58,5.9705524,0
1/20/2022,18:00:00,14.5035,59.5,5.98468,0
1/20/2022,20:00:00,13.6285,61.5,7.34725,0
1/20/2022,22:00:00,12.9035,63,7.816642,0
1/21/2022,0:00:00,12.3785,64.5,5.936104,0
1/21/2022,2:00:00,14.0285,58,5.26087,0
1/21/2022,4:00:00,17.4035,45.5,6.1553135,0
1/21/2022,6:00:00,19.8035,38.5,7.366912,0
1/21/2022,8:00:00,20.6285,37,9.040546,0
1/21/2022,10:00:00,19.5535,42.5,12.917813,0
1/21/2022,12:00:00,17.378498,54,15.211052,0
1/21/2022,14:00:00,16.1035,60,15.891209,0
1/21/2022,16:00:00,15.028501,63,16.277287,0
1/21/2022,18:00:00,14.828501,62.5,22.92337,0
1/21/2022,20:00:00,14.6035,61,27.536972,0
1/21/2022,22:00:00,14.1035,68,24.354713,0
1/22/2022,0:00:00,12.5285,88.5,29.186153,2.55
1/22/2022,2:00:00,12.7785,85.5,33.144745,0.35000002
1/22/2022,4:00:00,13.9035,77,32.99541,0
1/22/2022,6:00:00,15.0535,66,39.302147,0.25
1/22/2022,8:00:00,14.7535,66,38.187717,0.05
1/22/2022,10:00:00,14.7285,66.5,38.250473,0.2
1/22/2022,12:00:00,13.2785,79,36.950012,0.5
1/22/2022,14:00:00,12.1035,89,34.433098,0.85
1/22/2022,16:00:00,11.8035,89,34.409534,0.45000002
1/22/2022,18:00:00,11.7785,84.5,28.737427,0.15
1/22/2022,20:00:00,11.828501,87.5,22.161278,0.25
1/22/2022,22:00:00,11.5535,91.5,23.138878,0.1
1/23/2022,0:00:00,11.8035,91,22.421734,0
